YEAR,ROOKERY,SPP,COLONY,CAMERA,NEST,DATE,COPULATION,LAY,MAXE,HATCH,MAXC,CRECHE
2016-17,CS,3,3,3_1,1,1/27/2017,NA,NA,NA,NA,NA,1
2016-17,CS,3,3,3_1,2,11/12/2016,NA,NA,0,NA,NA,NA
2016-17,CS,3,3,3_1,2,11/18/2016,NA,NA,1,NA,NA,NA
2016-17,CS,3,3,3_1,2,11/19/2016,NA,NA,2,NA,NA,NA
2016-17,CS,3,3,3_1,2,11/21/2016,NA,NA,2,NA,NA,NA
2016-17,CS,3,3,3_1,2,11/25/2016,NA,NA,1,NA,NA,NA
2016-17,CS,3,3,3_1,2,11/29/2016,NA,NA,1,NA,NA,NA
2016-17,CS,3,3,3_1,2,12/26/2016,NA,NA,NA,NA,1,NA
2016-17,CS,3,3,3_1,2,12/27/2016,NA,NA,NA,NA,1,NA
2016-17,CS,3,3,3_1,2,12/28/2016,NA,NA,NA,NA,1,NA
2016-17,CS,3,3,3_1,2,12/29/2016,NA,NA,NA,NA,1,NA
2016-17,CS,3,3,3_1,2,1/1/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/3/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/4/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/6/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/8/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/9/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/10/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/11/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/12/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/14/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/15/2017,NA,NA,NA,NA,2,NA
2016-17,CS,3,3,3_1,2,1/18/2017,NA,NA,NA,NA,2,NA
