YEAR,ROOKERY,COLONY,CAMERA,SPP,NEST,DATE,MAXN
2016-17,CS,3,3_1,3,4,11/17/2016,2
2016-17,CS,3,3_1,3,4,11/18/2016,2
2016-17,CS,3,3_1,3,4,11/19/2016,2
2016-17,CS,3,3_1,3,4,11/20/2016,2
2016-17,CS,3,3_1,3,4,11/21/2016,2
2016-17,CS,3,3_1,3,4,11/22/2016,1
2016-17,CS,3,3_1,3,4,11/23/2016,1
2016-17,CS,3,3_1,3,4,11/24/2016,1
2016-17,CS,3,3_1,3,4,11/25/2016,1
2016-17,CS,3,3_1,3,4,11/26/2016,1
2016-17,CS,3,3_1,3,4,11/27/2016,1
2016-17,CS,3,3_1,3,4,11/28/2016,1
2016-17,CS,3,3_1,3,4,11/29/2016,1
2016-17,CS,3,3_1,3,4,11/30/2016,1
2016-17,CS,3,3_1,3,4,12/1/2016,1
2016-17,CS,3,3_1,3,4,12/2/2016,1
2016-17,CS,3,3_1,3,4,12/3/2016,1
2016-17,CS,3,3_1,3,4,12/4/2016,1
2016-17,CS,3,3_1,3,4,12/5/2016,2
2016-17,CS,3,3_1,3,4,12/6/2016,1
2016-17,CS,3,3_1,3,4,12/7/2016,1
2016-17,CS,3,3_1,3,4,12/8/2016,1
2016-17,CS,3,3_1,3,4,12/9/2016,1
2016-17,CS,3,3_1,3,4,12/10/2016,1
2016-17,CS,3,3_1,3,4,12/11/2016,1
2016-17,CS,3,3_1,3,4,12/12/2016,1
2016-17,CS,3,3_1,3,4,12/13/2016,1
2016-17,CS,3,3_1,3,4,12/14/2016,1
2016-17,CS,3,3_1,3,4,12/15/2016,1
2016-17,CS,3,3_1,3,4,12/16/2016,2
2016-17,CS,3,3_1,3,4,12/17/2016,1
2016-17,CS,3,3_1,3,4,12/18/2016,1
2016-17,CS,3,3_1,3,4,12/19/2016,1
2016-17,CS,3,3_1,3,4,12/20/2016,1
2016-17,CS,3,3_1,3,4,12/21/2016,1
2016-17,CS,3,3_1,3,4,12/22/2016,1
